condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.279904514,-0.019982639,1,0,0,1.630695,unsorted_card,9,0,9,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.363834635,0.465078125,1,0,0,1.5324,study_pile,10,0,10,0,1,PLATE - SAHANI
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.295176866,0.100373264,1,0,0,0.699575,unsorted_card,11,0,11,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.473171658,0.482256944,1,0,0,1.0507,study_pile,12,0,12,0,1,YEAST - HAMIRA
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.236518012,0.186119792,1,0,0,0.463555,unsorted_card,13,0,13,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.413498264,0.461171875,1,0,0,7.41489,study_pile,14,0,14,0,1,BLAME - LAWAMA
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.185508898,0.062517361,1,0,0,0.600295,unsorted_card,15,0,15,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.50553928,-0.111666667,1,0,0,2.39898,test_pile,16,0,16,0,1,OATH - YAMINI
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.202289497,-0.017170139,1,0,0,0.78166,unsorted_card,17,0,17,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.373377821,-0.455173611,1,0,0,2.714465,done_pile,18,0,18,0,1,CORN - NAFAKA
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.227571615,-0.086710069,1,0,0,0.51558,unsorted_card,19,0,19,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.457221137,0.394279514,1,0,0,1.482705,study_pile,20,0,20,0,1,POEM - UTENZI
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.360449219,-0.079444444,1,0,0,0.53254,unsorted_card,21,0,21,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.440961372,0.353064236,1,0,0,2.33208,study_pile,22,0,22,0,1,TAILOR - MSHONI
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.291140408,-0.021883681,1,0,0,0.599325,unsorted_card,23,0,23,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.454926215,-0.081579861,1,0,0,3.499135,test_pile,24,0,24,0,1,CHEESE - JIBINI
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.108767361,-0.078619792,1,0,0,0.49851,unsorted_card,25,0,25,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.521885851,0.50203125,1,0,0,1.21556,study_pile,26,0,26,0,1,GRAPES - ZABIBU
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.240717231,0.036380208,1,0,0,0.68256,unsorted_card,27,0,27,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.394802517,0.454375,1,0,0,12.064845,study_pile,28,0,28,0,1,GRAVE - KABURI
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.230512153,0.009401042,1,0,0,0.5806,unsorted_card,29,0,29,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.480951606,0.551866319,1,0,0,1.013965,study_pile,30,0,30,0,1,MANURE - SAMADI
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.307324219,-0.003654514,1,0,0,0.517765,unsorted_card,31,0,31,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.394856771,0.003784722,1,0,0,3.28004,test_pile,32,0,32,0,1,AGENT - WAKILI
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.209510634,0.014609375,1,0,0,0.48348,unsorted_card,33,0,33,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.398524306,0.067560764,1,0,0,2.14958,test_pile,34,0,34,0,1,BRIBE - RUSHWA
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.264632161,0.097274306,1,0,0,0.61302,unsorted_card,35,0,35,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.319314236,-0.095295139,1,0,0,2.23318,test_pile,36,0,36,0,1,ORPHAN - YATIMA
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.150656467,-0.013776042,1,0,0,0.49682,unsorted_card,37,0,37,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.416129557,0.445190972,1,0,0,1.38428,study_pile,38,0,38,0,1,DIVORCE - TALAKA
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.2449273,0.118420139,1,0,0,0.51595,unsorted_card,39,0,39,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.463568793,0.416536458,1,0,0,0.930675,study_pile,40,0,40,0,1,BOAT - MASHUA
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.281542969,0.051493056,1,0,0,0.38262,unsorted_card,41,0,41,0,1,
,,,,,,,,,,00001558041,2020-10-26_22h41.17.041,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.417464193,0.436423611,1,0,0,0.79937,study_pile,42,0,42,0,1,TREASURE - DAFINA
