condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,key_instr_test.keys,learn_loop.thisRepN,learn_loop.thisTrialN,learn_loop.thisN,learn_loop.thisIndex,learn_loop.ran
2,return,1.573,return,0.287,0,0,0,0,1,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,return,0.212,1,0,1,0,1,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,return,0.26,0,0,0,0,1,TAJIRI,MERCHANT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,1,1,1,1,KASUKU,PARROT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,2,2,2,1,FAHILI,BULL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,3,3,3,1,SAHANI,PLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,4,4,4,1,HAMIRA,YEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,5,5,5,1,LAWAMA,BLAME,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,6,6,6,1,YAMINI,OATH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,7,7,7,1,NAFAKA,CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,8,8,8,1,UTENZI,POEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,9,9,9,1,MSHONI,TAILOR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,10,10,10,1,JIBINI,CHEESE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,11,11,11,1,ZABIBU,GRAPES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,12,12,12,1,KABURI,GRAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,13,13,13,1,SAMADI,MANURE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,14,14,14,1,WAKILI,AGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,15,15,15,1,RUSHWA,BRIBE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,16,16,16,1,YATIMA,ORPHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,17,17,17,1,TALAKA,DIVORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,18,18,18,1,MASHUA,BOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,0,19,19,19,1,DAFINA,TREASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.104761905,-0.093333333,1,0,0,1.694,unsorted_card,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.427380952,-0.396190476,1,0,0,0.682,done_pile,1,0,1,0,1,MERCHANT - TAJIRI,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.136904762,-0.091428571,1,0,0,0.599,unsorted_card,2,0,2,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.328571429,-0.398095238,1,0,0,0.548,done_pile,3,0,3,0,1,PARROT - KASUKU,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.226190476,-0.055238095,1,0,0,0.431,unsorted_card,4,0,4,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.377380952,-0.420952381,1,0,0,0.533,done_pile,5,0,5,0,1,BULL - FAHILI,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.245238095,-0.074285714,1,0,0,0.365,unsorted_card,6,0,6,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.367857143,-0.405714286,1,0,0,0.449,done_pile,7,0,7,0,1,PLATE - SAHANI,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.254761905,-0.011428571,1,0,0,0.381,unsorted_card,8,0,8,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.476190476,-0.453333333,1,0,0,0.417,done_pile,9,0,9,0,1,YEAST - HAMIRA,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.211904762,-0.007619048,1,0,0,0.382,unsorted_card,10,0,10,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.46547619,-0.420952381,1,0,0,0.449,done_pile,11,0,11,0,1,BLAME - LAWAMA,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.154761905,-0.12952381,1,0,0,0.365,unsorted_card,12,0,12,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.45,-0.455238095,1,0,0,0.4,done_pile,13,0,13,0,1,OATH - YAMINI,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.178571429,-0.055238095,1,0,0,0.349,unsorted_card,14,0,14,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.391666667,-0.401904762,1,0,0,0.365,done_pile,15,0,15,0,1,CORN - NAFAKA,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.183333333,-0.104761905,1,0,0,0.315,unsorted_card,16,0,16,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.413095238,-0.462857143,1,0,0,0.366,done_pile,17,0,17,0,1,POEM - UTENZI,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.158333333,-0.121904762,1,0,0,0.366,unsorted_card,18,0,18,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.33452381,-0.43047619,1,0,0,0.366,done_pile,19,0,19,0,1,TAILOR - MSHONI,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.098809524,-0.173333333,1,0,0,0.365,unsorted_card,20,0,20,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.367857143,-0.403809524,1,0,0,0.432,done_pile,21,0,21,0,1,CHEESE - JIBINI,,,,,,,,,,,,,,
,,,,,,,,,,1576554,2020-10-19_18h55.20.126,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.407142857,0.177142857,1,0,0,0.365,unsorted_card,22,0,22,0,1,,,,,,,,,,,,,,,
