condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,key_instr_test.keys,learn_loop.thisRepN,learn_loop.thisTrialN,learn_loop.thisN,learn_loop.thisIndex,learn_loop.ran,instr_movie_key.keys,instr_movie_key.rt,return_to_exp.keys,return_to_exp.rt,instr_assess_key.keys,instr_assess_key.rt,test_response.resp,test_response.eval,duration,assess_loop.thisRepN,assess_loop.thisTrialN,assess_loop.thisN,assess_loop.thisIndex,assess_loop.ran
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.377723524,-0.338003472,1,0,0,0.59802,unsorted_card,1,0,1,0,1,MERCHANT - TAJIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.511290148,-0.609270833,1,0,0,0.61639,done_pile,2,0,2,0,1,MERCHANT - TAJIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.15897895,-0.120538194,1,0,0,0.482175,unsorted_card,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.375743273,-0.448203125,1,0,0,0.4971,done_pile,4,0,4,0,1,PARROT - KASUKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.362982856,0.059236111,1,0,0,0.479845,unsorted_card,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.400021701,-0.447569444,1,0,0,0.54915,done_pile,6,0,6,0,1,BULL - FAHILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.433539497,-0.129322917,1,0,0,0.480525,unsorted_card,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.515315755,-0.603723958,1,0,0,0.582425,done_pile,8,0,8,0,1,PLATE - SAHANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.155577257,-0.276901042,1,0,0,0.49638,done_pile,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.300075955,-0.083654514,1,0,0,0.44959,unsorted_card,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.56296658,-0.463420139,1,0,0,0.564525,done_pile,11,0,11,0,1,YEAST - HAMIRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.256857639,-0.072717014,1,0,0,0.515,unsorted_card,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.430815972,-0.507916667,1,0,0,0.59892,done_pile,13,0,13,0,1,BLAME - LAWAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h55.51.451,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.210709635,-0.138333333,1,0,0,0.513715,unsorted_card,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
