condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,key_instr_test.keys,learn_loop.thisRepN,learn_loop.thisTrialN,learn_loop.thisN,learn_loop.thisIndex,learn_loop.ran
2,return,1.284,return,0.624,0,0,0,0,1,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,return,0.649,1,0,1,0,1,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,return,1.093,0,0,0,0,1,TAJIRI,MERCHANT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,1,1,1,1,KASUKU,PARROT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,2,2,2,1,FAHILI,BULL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,3,3,3,1,SAHANI,PLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,4,4,4,1,HAMIRA,YEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,5,5,5,1,LAWAMA,BLAME,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,6,6,6,1,YAMINI,OATH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,7,7,7,1,NAFAKA,CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,8,8,8,1,UTENZI,POEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,9,9,9,1,MSHONI,TAILOR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,10,10,10,1,JIBINI,CHEESE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,11,11,11,1,ZABIBU,GRAPES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,12,12,12,1,KABURI,GRAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,13,13,13,1,SAMADI,MANURE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,14,14,14,1,WAKILI,AGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,15,15,15,1,RUSHWA,BRIBE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,16,16,16,1,YATIMA,ORPHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,17,17,17,1,TALAKA,DIVORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,18,18,18,1,MASHUA,BOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,0,19,19,19,1,DAFINA,TREASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.379166667,-0.12,1,0,0,0.941,unsorted_card,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.520833333,-0.56019656,1,0,0,8.392,done_pile,1,0,1,0,1,MERCHANT - TAJIRI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.3,-0.004914005,1,0,0,0.699,unsorted_card,2,0,2,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.440277778,-0.685503686,1,0,0,1.516,done_pile,3,0,3,0,1,PARROT - KASUKU,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.343055556,0.017199017,1,0,0,0.549,unsorted_card,4,0,4,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.269444444,-0.422604423,1,0,0,0.649,done_pile,5,0,5,0,1,BULL - FAHILI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.123611111,-0.054054054,1,0,0,0.483,unsorted_card,6,0,6,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.552777778,-0.582309582,1,0,0,0.699,done_pile,7,0,7,0,1,PLATE - SAHANI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.173611111,-0.12039312,1,0,0,0.765,unsorted_card,8,0,8,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.445833333,-0.457002457,1,0,0,0.666,done_pile,9,0,9,0,1,YEAST - HAMIRA,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.368055556,0.046683047,1,0,0,0.549,unsorted_card,10,0,10,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.418055556,-0.442260442,1,0,0,0.632,done_pile,11,0,11,0,1,BLAME - LAWAMA,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.290277778,0.022113022,1,0,0,0.533,unsorted_card,12,0,12,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.356944444,-0.402948403,1,0,0,0.749,done_pile,13,0,13,0,1,OATH - YAMINI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.359722222,0.083538084,1,0,0,0.482,unsorted_card,14,0,14,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.368055556,-0.508599509,1,0,0,0.599,done_pile,15,0,15,0,1,CORN - NAFAKA,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.334722222,0.007371007,1,0,0,0.548,unsorted_card,16,0,16,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.386111111,-0.459459459,1,0,0,0.683,done_pile,17,0,17,0,1,POEM - UTENZI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.369444444,0.012285012,1,0,0,0.533,unsorted_card,18,0,18,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.476388889,-0.525798526,1,0,0,0.599,done_pile,19,0,19,0,1,TAILOR - MSHONI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.248611111,-0.073710074,1,0,0,0.515,unsorted_card,20,0,20,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.504166667,-0.508599509,1,0,0,0.615,done_pile,21,0,21,0,1,CHEESE - JIBINI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.338888889,0.125307125,1,0,0,0.533,unsorted_card,22,0,22,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.402777778,-0.442260442,1,0,0,0.6,done_pile,23,0,23,0,1,GRAPES - ZABIBU,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.284722222,0.036855037,1,0,0,0.498,unsorted_card,24,0,24,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.3875,-0.417690418,1,0,0,0.717,done_pile,25,0,25,0,1,GRAVE - KABURI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.3,0.081081081,1,0,0,0.581,unsorted_card,26,0,26,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.373611111,-0.466830467,1,0,0,0.749,done_pile,27,0,27,0,1,MANURE - SAMADI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.216666667,0.063882064,1,0,0,0.482,unsorted_card,28,0,28,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.468055556,-0.476658477,1,0,0,0.683,done_pile,29,0,29,0,1,AGENT - WAKILI,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.234722222,0.122850123,1,0,0,0.516,unsorted_card,30,0,30,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.363888889,-0.390663391,1,0,0,0.851,done_pile,31,0,31,0,1,BRIBE - RUSHWA,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.315277778,0.15970516,1,0,0,0.497,unsorted_card,32,0,32,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.375,-0.5995086,1,0,0,0.598,done_pile,33,0,33,0,1,ORPHAN - YATIMA,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.3375,-0.012285012,1,0,0,0.55,unsorted_card,34,0,34,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.380555556,-0.481572482,1,0,0,0.715,done_pile,35,0,35,0,1,DIVORCE - TALAKA,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.316666667,0.162162162,1,0,0,0.532,unsorted_card,36,0,36,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.522222222,-0.511056511,1,0,0,1.033,done_pile,37,0,37,0,1,BOAT - MASHUA,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.311111111,0.098280098,1,0,0,0.566,unsorted_card,38,0,38,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.531944444,-0.547911548,1,0,0,1.016,done_pile,39,0,39,0,1,TREASURE - DAFINA,,,,,,,,,,,,,,
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,,,,,,1093862,2020-10-23_11h53.35.715,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
