condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,next_study.keys,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran,key_instr_test.keys,key_instr_test.rt,duration,yes_or_no.x,yes_or_no.y,yes_or_no.leftButton,yes_or_no.midButton,yes_or_no.rightButton,yes_or_no.time,yes_or_no.clicked_name,test_response.stim,test_response.resp,test_response.eval,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,learn_loop.thisRepN,learn_loop.thisTrialN,learn_loop.thisN,learn_loop.thisIndex,learn_loop.ran,key_instr_study.rt,next_study.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
2,return,5.023,return,2.817,0,0,0,0,1,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,return,3.408,1,0,1,0,1,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,return,16.813,0,0,0,0,1,TAJIRI,MERCHANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,1,1,1,1,KASUKU,PARROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,2,2,2,1,FAHILI,BULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,3,3,3,1,SAHANI,PLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,4,4,4,1,HAMIRA,YEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,5,5,5,1,LAWAMA,BLAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,6,6,6,1,YAMINI,OATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,7,7,7,1,NAFAKA,CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,8,8,8,1,UTENZI,POEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,9,9,9,1,MSHONI,TAILOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,10,10,10,1,JIBINI,CHEESE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,11,11,11,1,ZABIBU,GRAPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,12,12,12,1,KABURI,GRAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,13,13,13,1,SAMADI,MANURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,14,14,14,1,WAKILI,AGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,15,15,15,1,RUSHWA,BRIBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,16,16,16,1,YATIMA,ORPHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,17,17,17,1,TALAKA,DIVORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,18,18,18,1,MASHUA,BOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,0,19,19,19,1,DAFINA,TREASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.452991453,-0.008902077,1,0,0,4.802,unsorted_card,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.427350427,-0.011869436,1,0,0,3.727,unsorted_card,1,0,1,0,1,MERCHANT - TAJIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.478632479,0.445103858,1,0,0,17.665,study_pile,2,0,2,0,1,MERCHANT - TAJIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.314102564,-0.005934718,1,0,0,1.099,unsorted_card,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.461538462,-0.038575668,1,0,0,2.364,test_pile,4,0,4,0,1,PARROT - KASUKU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.361111111,-0.014836795,1,0,0,0.698,unsorted_card,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.427350427,0.465875371,1,0,0,1.516,study_pile,6,0,6,0,1,BULL - FAHILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.282051282,0.112759644,1,0,0,0.716,unsorted_card,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.448717949,0.456973294,1,0,0,3.249,study_pile,8,0,8,0,1,PLATE - SAHANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.243589744,0.041543027,1,0,0,2.129,unsorted_card,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.491452991,0.415430267,1,0,0,5.815,study_pile,10,0,10,0,1,YEAST - HAMIRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.247863248,0.059347181,1,0,0,0.597,unsorted_card,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.427350427,0.439169139,1,0,0,5.767,study_pile,12,0,12,0,1,BLAME - LAWAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.222222222,0.091988131,1,0,0,0.948,unsorted_card,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.495726496,-0.421364985,1,0,0,4.649,done_pile,14,0,14,0,1,OATH - YAMINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.333333333,-0.050445104,1,0,0,0.764,unsorted_card,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.448717949,-0.041543027,1,0,0,2.366,test_pile,16,0,16,0,1,CORN - NAFAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.271367521,-0.026706231,1,0,0,0.683,unsorted_card,17,0,17,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.555555556,-0.077151335,1,0,0,7.398,test_pile,18,0,18,0,1,POEM - UTENZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.320512821,0.029673591,1,0,0,3.748,unsorted_card,19,0,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.472222222,0.40652819,1,0,0,2.782,study_pile,20,0,20,0,1,TAILOR - MSHONI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.403846154,-0.21958457,1,0,0,0.696,unsorted_card,21,0,21,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.517094017,-0.50148368,1,0,0,2.684,done_pile,22,0,22,0,1,CHEESE - JIBINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.258547009,0.002967359,1,0,0,0.681,unsorted_card,23,0,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.489316239,-0.433234421,1,0,0,2.099,done_pile,24,0,24,0,1,GRAPES - ZABIBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.352564103,-0.172106825,1,0,0,0.482,unsorted_card,25,0,25,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.435897436,-0.017804154,1,0,0,1.917,test_pile,26,0,26,0,1,GRAVE - KABURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.775641026,-0.026706231,1,0,0,0.447,unsorted_card,27,0,27,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.493589744,0.412462908,1,0,0,2.75,study_pile,28,0,28,0,1,MANURE - SAMADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.096153846,0.15727003,1,0,0,0.465,unsorted_card,29,0,29,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.465811966,0.448071217,1,0,0,2.448,study_pile,30,0,30,0,1,AGENT - WAKILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.382478632,0.017804154,1,0,0,0.665,unsorted_card,31,0,31,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.472222222,0.456973294,1,0,0,11.633,study_pile,32,0,32,0,1,BRIBE - RUSHWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.292735043,0.071216617,1,0,0,0.631,unsorted_card,33,0,33,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.446581197,-0.445103858,1,0,0,2.715,done_pile,34,0,34,0,1,ORPHAN - YATIMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.363247863,-0.065281899,1,0,0,0.432,unsorted_card,35,0,35,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.39957265,-0.50148368,1,0,0,1.848,done_pile,36,0,36,0,1,DIVORCE - TALAKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.205128205,-0.163204748,1,0,0,0.582,unsorted_card,37,0,37,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1576735,2020-10-26_15h48.58.557,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.64957265,-0.053412463,1,0,0,1.849,test_pile,38,0,38,0,1,BOAT - MASHUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
