condition,consent_key.keys,consent_key.rt,done_with_instructions.keys,done_with_instructions.rt,instr_loop.thisRepN,instr_loop.thisTrialN,instr_loop.thisN,instr_loop.thisIndex,instr_loop.ran,Student ID #,date,expName,psychopyVersion,OS,frameRate,instr_learning_key.keys,instr_learning_key.rt,card_gen_loop.thisRepN,card_gen_loop.thisTrialN,card_gen_loop.thisN,card_gen_loop.thisIndex,card_gen_loop.ran,swa,eng,choose_pile.x,choose_pile.y,choose_pile.leftButton,choose_pile.midButton,choose_pile.rightButton,choose_pile.time,choose_pile.clicked_name,choices.thisRepN,choices.thisTrialN,choices.thisN,choices.thisIndex,choices.ran,card_to_show,mouse_pick.x,mouse_pick.y,mouse_pick.leftButton,mouse_pick.midButton,mouse_pick.rightButton,mouse_pick.time,mouse_pick.clicked_name,key_instr_study.keys,next_study.keys,study_loop.thisRepN,study_loop.thisTrialN,study_loop.thisN,study_loop.thisIndex,study_loop.ran
1,return,1.196095,return,0.489695,0,0,0,0,1,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,return,0.475055,0,0,0,0,1,TAJIRI,MERCHANT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,1,1,1,1,KASUKU,PARROT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,2,2,2,1,FAHILI,BULL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,3,3,3,1,SAHANI,PLATE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,4,4,4,1,HAMIRA,YEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,5,5,5,1,LAWAMA,BLAME,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,6,6,6,1,YAMINI,OATH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,7,7,7,1,NAFAKA,CORN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,8,8,8,1,UTENZI,POEM,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,9,9,9,1,MSHONI,TAILOR,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,10,10,10,1,JIBINI,CHEESE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,11,11,11,1,ZABIBU,GRAPES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,12,12,12,1,KABURI,GRAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,13,13,13,1,SAMADI,MANURE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,14,14,14,1,WAKILI,AGENT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,15,15,15,1,RUSHWA,BRIBE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,16,16,16,1,YATIMA,ORPHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,17,17,17,1,TALAKA,DIVORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,18,18,18,1,MASHUA,BOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,0,19,19,19,1,DAFINA,TREASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.428379991,-0.156015625,1,0,0,1.567275,unsorted_card,0,0,0,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.44155816,-0.016753472,1,0,0,0.729145,test_pile,1,0,1,0,1,MERCHANT - TAJIRI,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.313753255,0.054869792,1,0,0,0.46498,unsorted_card,2,0,2,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.448258464,-0.044027778,1,0,0,0.498525,test_pile,3,0,3,0,1,PARROT - KASUKU,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.149180773,-0.069774306,1,0,0,0.447325,unsorted_card,4,0,4,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.499696181,-0.033741319,1,0,0,1.430185,test_pile,5,0,5,0,1,BULL - FAHILI,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,-0.24366862,-0.081805556,1,0,0,0.47957,unsorted_card,6,0,6,0,1,,,,,,,,,,,,,,,
,,,,,,,,,,00001591679,2020-10-25_22h54.58.056,swahili,2020.2.4,MacIntel,60,,,,,,,,,,0.464973958,-0.106640625,1,0,0,0.38328,test_pile,7,0,7,0,1,PLATE - SAHANI,,,,,,,,,,,,,,
